Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_514.jpg;15;0;0;2.59697;104.4878;94.00842;359.9919;106.7183;1.131127
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_555.jpg;15;0;0;2.582947;104.4331;94.15281;-0.00232612;108.7189;1.157837
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_597.jpg;15;0;0;2.574739;104.3943;94.2476;-0.005173575;110.0482;1.165416
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_638.jpg;15;0;0;2.568656;104.354;94.34137;359.9878;111.3615;1.151664
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_681.jpg;15;0;0;2.558828;104.311;94.43382;-0.003860391;112.6814;1.153924
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_722.jpg;15;0;0;2.550573;104.2662;94.52483;359.994;114.0028;1.15221
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_764.jpg;15;0;0;2.5442;104.2197;94.61451;359.9823;115.3143;1.142343
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_807.jpg;15;0;0;2.534993;104.1707;94.70277;359.9857;116.6283;1.149516
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_847.jpg;15;0;0;2.5269;104.1197;94.78975;-0.0006538572;117.9427;1.166929
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_889.jpg;15;0;0;2.518873;104.0675;94.87524;-0.005092813;119.2476;1.164029
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_930.jpg;15;0;0;2.51319;104.0139;94.95945;359.9882;120.5339;1.142449
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_27_971.jpg;15;0;0;2.503504;103.9577;95.04189;-0.004743673;121.8359;1.142544
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_014.jpg;15;0;0;2.495504;103.8708;95.16263;359.9926;123.7881;1.134654
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_055.jpg;15;0;0;2.485038;103.8106;95.24102;359.992;125.0897;1.135928
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_096.jpg;15;0;0;2.477091;103.7485;95.31776;-0.001366545;126.3953;1.152645
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_139.jpg;15;0;0;2.469725;103.6851;95.39312;0.01381697;127.6963;1.164044
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_180.jpg;15;0;0;2.461728;103.621;95.4666;359.9902;128.9916;1.14998
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_221.jpg;15;0;0.1249188;2.45215;103.5552;95.53819;359.9821;130.2739;1.135771
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_264.jpg;15;0;0.2509347;2.427485;103.4887;95.60708;359.9578;131.551;1.129672
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_265.jpg;15;0;0.3136527;2.404182;103.4887;95.60708;359.9578;131.551;1.129672
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_28_283.jpg;15;0;0.3136527;2.404182;103.4887;95.60708;359.9578;131.551;1.129672
